count nobl hse
6 8.0 57483
6 1.0 62310
6 11.0 8862
6 13.0 24216
6 0.0 93611
6 1.0 49039
6 8.0 51580
6 12.0 33636
6 2.0 52603
6 12.0 36347
6 8.0 3250
6 4.0 66027
6 10.0 47617
6 0.0 75936
6 2.0 58587
6 6.0 67872
6 11.0 18874
6 13.0 26774
6 7.0 47062
6 4.0 48349
6 8.0 54075
6 4.0 67908
6 4.0 52291
6 3.0 54105
6 12.0 25466
6 12.0 34726
6 3.0 62503
6 5.0 52565
6 2.0 46387
6 7.0 40364
6 0.0 83756
6 9.0 26411
6 2.0 76028
6 10.0 34401
6 0.0 95986
6 11.0 38686
6 5.0 60981
6 7.0 55921
6 3.0 51719
6 12.0 32265
6 6.0 51302
6 0.0 86745
5 13.0 25506
5 1.0 52000
5 8.0 43438
5 7.0 66041
5 10.0 58659
5 14.0 35656
5 0.0 74766
5 7.0 73111
5 12.0 13329
5 10.0 20534
5 12.0 57393
5 9.0 51742
5 4.0 75970
5 12.0 14525
5 9.0 6344
5 3.0 77111
5 1.0 43841
5 10.0 50947
5 7.0 62774
5 11.0 14509
5 11.0 32331
5 9.0 45788
5 6.0 43575
5 10.0 35730
5 4.0 61815
5 5.0 77195
5 5.0 401
5 0.0 98175
5 11.0 27638
5 7.0 54631
5 0.0 91686
5 4.0 59959
5 1.0 43198
5 9.0 42977
5 12.0 30900
5 8.0 78745
5 10.0 43997
5 5.0 46431
5 7.0 48399
5 6.0 50438
5 10.0 22254
5 3.0 55857
5 2.0 60832
5 7.0 68748
5 11.0 29574
5 7.0 46470
5 2.0 74024
5 10.0 52919
5 8.0 60458
5 4.0 62767
5 10.0 46274
5 14.0 13339
5 3.0 63661
5 6.0 45343
5 12.0 42711
5 13.0 2795
5 11.0 25123
5 2.0 57426
5 9.0 49934
5 2.0 71319
5 8.0 48674
5 12.0 18457
5 2.0 82997
4 0.0 110107
4 13.0 49169
4 13.0 21128
4 3.0 86883
4 11.0 45882
4 12.0 41757
4 2.0 67303
4 3.0 70475
4 13.0 7612
4 5.0 81474
4 9.0 75868
4 14.0 23128
4 2.0 64744
4 5.0 69546
4 3.0 59882
4 6.0 49355
4 3.0 66913
4 7.0 93376
4 4.0 64261
4 4.0 64877
4 4.0 89121
4 3.0 73047
4 11.0 10508
4 11.0 26023
4 2.0 65596
4 3.0 71694
4 5.0 47302
4 12.0 64755
4 12.0 7592
4 10.0 45139
4 7.0 47737
4 0.0 106678
4 2.0 62215
4 1.0 70282
4 11.0 57976
4 16.0 46068
4 5.0 78539
4 2.0 55863
4 11.0 37041
4 0.0 85160
4 10.0 56386
4 11.0 13762
4 9.0 54135
4 9.0 44917
4 2.0 55204
4 10.0 49213
4 12.0 2845
4 8.0 69949
4 4.0 59018
4 7.0 59844
4 11.0 26789
4 0.0 68942
4 2.0 63155
4 12.0 16956
4 7.0 58665
4 9.0 43722
4 13.0 28271
4 13.0 38202
4 3.0 83063
4 11.0 3813
4 8.0 55271
4 13.0 43885
4 10.0 54691
4 10.0 74821
4 2.0 78872
4 9.0 59397
4 12.0 26185
4 13.0 41926
4 15.0 25405
4 3.0 61483
4 12.0 39644
4 1.0 72527
4 14.0 29830
4 12.0 23244
4 9.0 3674
4 2.0 68278
4 1.0 87713
4 9.0 310
3 6.0 136679
3 14.0 27564
3 6.0 71710
3 8.0 44059
3 10.0 51741
3 4.0 66837
3 7.0 87360
3 0.0 102278
3 6.0 62444
3 12.0 21580
3 5.0 68495
3 8.0 65756
3 13.0 31922
3 11.0 11565
3 11.0 60574
3 6.0 59995
3 1.0 63381
3 7.0 74537
3 13.0 39429
3 11.0 44957
3 10.0 3681
3 2.0 96399
3 14.0 28769
3 2.0 92799
3 7.0 80171
3 11.0 64142
3 13.0 64952
3 2.0 68977
3 13.0 17211
3 9.0 58054
3 12.0 24525
3 13.0 29661
3 15.0 30711
3 3.0 60622
3 8.0 56558
3 11.0 62269
3 10.0 65324
3 14.0 43310
3 12.0 43883
3 12.0 19215
3 0.0 77300
3 10.0 9190
3 2.0 80925
3 12.0 20730
3 4.0 84424
3 16.0 22742
3 12.0 22648
3 5.0 82432
3 9.0 60711
3 2.0 98018
3 17.0 39352
3 6.0 64205
3 12.0 9155
3 9.0 64677
3 14.0 26403
3 12.0 68867
3 13.0 18752
3 5.0 109157
3 1.0 66015
3 7.0 77097
3 3.0 84619
3 6.0 75447
3 11.0 50572
3 15.0 3269
3 7.0 85036
3 11.0 48978
3 12.0 45456
3 13.0 42525
3 17.0 6230
3 6.0 73009
