loc hsv count
72.0 3610 9
71.0 3529 9
55.0 2007 9
19.0 266 9
53.0 2651 9
15.0 1024 9
101.0 4998 9
34.0 575 9
25.0 1569 9
46.0 1417 9
47.0 3391 9
54.0 2755 9
38.0 837 9
62.0 2144 9
34.0 3002 9
70.0 2634 9
71.0 3658 9
38.0 624 9
7.0 2 9
99.0 3816 10
88.0 3603 10
75.0 4400 10
80.0 3585 10
67.0 2986 10
54.0 3101 10
47.0 2923 10
55.0 1614 10
47.0 3169 10
73.0 2323 10
69.0 2888 10
57.0 2554 10
38.0 2706 10
65.0 2296 10
16.0 1127 10
32.0 975 10
62.0 3317 10
27.0 489 10
36.0 759 10
37.0 2612 10
23.0 375 10
50.0 1769 10
30.0 2111 10
52.0 3567 10
56.0 2684 10
57.0 1716 10
46.0 1428 10
67.0 2355 10
19.0 1690 10
17.0 1463 10
70.0 2828 11
38.0 3317 11
53.0 912 11
79.0 3248 11
61.0 2819 11
20.0 228 11
10.0 99 11
73.0 2966 11
60.0 3280 11
72.0 2195 11
74.0 2390 11
64.0 2594 11
