count robl hsd
7 0.5854875283446711 4
7 0.4783954141096998 29
7 0.4247021685358968 28
7 0.8667800453514739 6
7 0.29921579743008314 31
7 0.22611198960854034 34
7 0.20457675112052992 40
7 0.8737254041401508 14
7 0.36648791648791645 29
7 0.848770277341706 10
6 0.8000000000000002 11
6 0.2779870731892555 37
6 0.14702901265401266 38
6 0.13266619682060857 0
6 0.3402831736165069 38
6 0.5378185045948204 26
6 1.5119047619047619 6
6 0.18170280390107976 42
5 1.3504761904761904 11
5 0.2813101604278075 42
5 0.8384615384615385 16
5 0.7955555555555556 14
5 0.45025534851621807 37
5 0.27240903240903236 40
5 0.057894132011779065 43
5 0.26134453781512607 4
5 0.8842712842712842 17
5 0.22781840916391002 50
5 0.19380952380952382 59
5 0.06876403166725747 5
5 0.42029232416329193 35
5 0.18644574535582017 45
5 0.591205500381971 21
5 0.1084570400359874 5
4 1.6875 6
4 1.3333333333333333 9
4 0.8815628815628815 8
4 1.6666666666666667 5
4 0.8392857142857143 7
4 1.3333333333333333 7
4 0.9268525592055004 6
4 0.15685454783920258 49
4 0.8083333333333333 3
4 0.23506747638326586 43
4 0.5455251270468662 31
4 0.3855576441102757 33
4 0.0737040737040737 48
4 0.7214015151515152 21
4 0.3371323529411765 40
4 0.1496523562520693 43
4 0.22502736726874656 45
4 1.4821428571428572 6
3 0.3933239962651727 27
3 0.29183824305775524 44
3 0.16666666666666666 3
3 1.3194444444444444 8
3 0.978494623655914 14
3 0.6883876357560568 17
3 1.25 6
3 1.1136363636363635 7
3 0.856125356125356 19
3 0.7373184091450345 19
3 0.5967518320459497 22
3 0.5452532992762879 29
3 1.0 19
3 0.0913951545530493 47
3 0.19047619047619047 69
3 0.31746031746031744 37
3 1.1888888888888889 9
3 0.06060606060606061 3
3 0.14106753812636166 55
3 0.5865546218487395 24
2 0.10425101214574899 58
2 0.11805555555555555 66
2 0.9166666666666666 28
2 2.5 4
2 0.8571428571428571 41
2 0.10737327188940092 59
2 0.8571428571428571 27
2 1.5 8
2 0.2554112554112554 54
2 0.5 0
2 0.875 24
2 0.26969696969696966 47
2 1.5 10
2 0.23137771918259725 61
2 0.1380952380952381 51
2 1.5 12
2 0.3693181818181818 61
2 1.1339285714285714 12
2 0.3879598662207358 45
2 1.225 11
2 0.10795454545454546 52
2 0.19440993788819877 56
2 0.5714285714285714 0
2 0.3666666666666667 0
1 0.4411764705882353 47
1 0.06666666666666667 54
1 0.13157894736842105 70
1 0.07142857142857142 60
1 0.7407407407407407 62
1 0.05555555555555555 63
1 0.45454545454545453 57
1 0.7142857142857143 66
1 0.7857142857142857 31
1 0.1 77
1 0.2702702702702703 77
1 0.8125 25
1 5.333333333333333 8
1 0.6666666666666666 25
1 1.8888888888888888 8
1 2.0 7
1 0.2777777777777778 67
1 0.13157894736842105 64
1 0.375 52
1 0.5625 23
1 0.1 84
1 3.0 4
1 2.5 6
1 0.9047619047619048 25
1 0.47619047619047616 55
1 0.15384615384615385 81
1 1.25 9
1 1.0769230769230769 16
1 2.0 10
1 0.75 43
1 0.5757575757575758 74
1 0.047619047619047616 0
1 0.17647058823529413 75
1 2.5 8
