count nobl hsv
2 6.0 7974
2 26.0 5283
2 21.0 7338
2 18.0 12724
2 17.0 6933
2 11.0 8519
2 0.0 30876
2 22.0 7694
2 24.0 5793
2 24.0 10844
2 21.0 2624
2 23.0 7134
2 4.0 7837
2 7.0 8785
2 7.0 8174
2 32.0 4844
2 26.0 7002
2 2.0 11778
2 45.0 12536
2 41.0 20765
2 21.0 14229
2 8.0 6811
2 44.0 12726
2 24.0 5358
2 2.0 8827
2 17.0 16759
2 29.0 4833
2 26.0 3378
2 32.0 10085
2 52.0 21226
2 2.0 8148
2 3.0 5334
2 27.0 9497
2 26.0 11113
2 16.0 10643
2 24.0 6694
2 33.0 10474
2 42.0 10205
2 22.0 3633
2 7.0 8521
2 28.0 9619
2 26.0 15694
2 19.0 9367
2 24.0 8117
2 15.0 8434
2 16.0 8310
2 13.0 6537
2 0.0 13128
2 24.0 12231
2 22.0 9962
2 28.0 4645
2 41.0 9631
2 34.0 10923
2 20.0 7252
2 36.0 12633
2 22.0 1870
2 16.0 10211
2 22.0 12456
2 15.0 6017
2 10.0 8544
2 14.0 7695
2 5.0 8517
2 23.0 12011
2 17.0 12149
2 31.0 3720
2 27.0 7888
2 27.0 4976
2 26.0 4999
2 30.0 10540
2 16.0 9513
2 34.0 12663
2 26.0 4748
2 13.0 11334
2 32.0 12417
2 2.0 8512
2 55.0 23836
2 49.0 18790
2 0.0 19463
2 20.0 8980
2 31.0 10533
2 25.0 5625
2 15.0 6764
2 31.0 9849
2 28.0 5011
2 16.0 7727
2 17.0 5484
2 14.0 10198
2 1.0 9347
2 13.0 5039
2 2.0 10478
2 27.0 8418
2 49.0 18125
2 10.0 14677
2 19.0 1681
2 33.0 8091
2 13.0 8593
2 21.0 8298
2 25.0 9200
2 10.0 6777
2 2.0 7656
2 30.0 4879
2 34.0 9759
2 42.0 21176
2 41.0 9097
2 28.0 6281
2 9.0 10502
2 15.0 5623
2 23.0 2230
2 25.0 7471
2 19.0 8763
2 33.0 5760
2 7.0 5622
2 0.0 26980
2 23.0 9735
2 23.0 8585
2 7.0 7119
2 0.0 11738
2 12.0 6980
2 24.0 9564
2 8.0 8295
2 2.0 12401
2 18.0 10185
2 44.0 18959
2 25.0 8571
2 25.0 6825
2 23.0 3057
2 20.0 8494
2 1.0 8004
2 13.0 12183
2 0.0 15237
2 25.0 14155
2 37.0 13678
2 39.0 15186
2 37.0 8857
2 0.0 17181
2 21.0 9871
2 21.0 1772
2 26.0 8002
2 26.0 3031
2 8.0 16
2 17.0 10440
2 20.0 6751
2 30.0 14544
2 0.0 13741
2 36.0 10053
2 10.0 5774
2 23.0 2591
2 4.0 9808
2 31.0 4949
2 31.0 16143
2 0.0 26047
2 19.0 16660
2 25.0 3493
2 13.0 13216
2 34.0 11846
2 18.0 6382
2 5.0 6467
2 24.0 9005
2 8.0 9954
2 33.0 5229
1 90.0 47930
1 5.0 8762
1 119.0 62076
1 10.0 12521
1 0.0 26496
1 0.0 26721
1 12.0 13888
1 33.0 6998
1 71.0 27361
1 16.0 8645
1 17.0 115059
1 0.0 260070
1 14.0 14795
1 12.0 8095
1 32.0 7507
1 223.0 33605
1 124.0 45824
1 14.0 6293
1 17.0 18720
1 42.0 20729
1 29.0 6847
1 2.0 9178
1 17.0 361
1 7.0 12895
1 19.0 1184
1 9.0 6611
1 41.0 28210
1 20.0 5878
1 24.0 8680
1 24.0 2144
1 0.0 47703
1 0.0 188294
1 18.0 7033
1 31.0 6137
1 24.0 6152
1 44.0 18583
1 23.0 6189
1 41.0 15604
1 203.0 113045
1 4.0 5588
1 17.0 5269
1 41.0 11232
1 106.0 25802
1 58.0 6150
1 0.0 17823
1 29.0 1654
1 137.0 44542
1 66.0 21609
1 3.0 6715
1 48.0 5615
1 124.0 22094
1 30.0 3737
