count robl coco
4 0.05352410546770303 33
4 0.39594594594594595 24
4 0.2973471777819604 20
4 0.8424908424908425 2
4 0.0 34
4 0.36874999999999997 15
4 0.5759571563179047 6
4 0.24862637362637363 25
3 0.5554091641048163 8
3 0.5739348370927319 5
3 0.14732142857142858 37
3 0.6565656565656566 4
3 0.5818713450292398 2
3 0.4164722516790385 17
3 0.33604336043360433 28
3 0.8000000000000002 3
3 0.22341227760103688 28
3 0.3424395592640137 26
3 0.26581831035701664 25
3 0.4540935920246265 11
3 0.2940522036799315 25
3 0.8180704099821746 3
3 0.19754273504273503 28
3 0.2080808080808081 34
3 0.2770074696545285 28
3 0.1099066099066099 30
3 0.1964797818456355 27
3 0.9327731092436974 0
3 0.4774056353003721 16
3 0.028785103785103783 37
3 0.20629827688651217 33
3 0.3792766373411534 19
3 1.0 2
3 0.21316646316646315 30
3 0.5605517541001412 7
3 0.3092741935483871 31
3 0.2698431765098432 30
3 0.625 3
3 0.026404151404151404 35
3 2.5 0
3 0.032902288753016144 34
3 0.25822686798296557 29
3 0.036149513568868405 36
3 0.2650004843553231 20
3 0.06671828623048136 39
2 0.02506265664160401 38
2 0.24695121951219512 36
2 0.5909090909090909 11
2 0.17592592592592593 32
2 0.4774904214559387 17
2 0.3616298811544991 28
2 0.43669871794871795 16
2 0.10526315789473684 50
2 0.3077651515151515 23
2 0.7493734335839599 5
2 2.0 0
2 0.05202702702702703 42
2 0.0 39
2 0.5108695652173914 11
2 1.4 3
2 0.905982905982906 2
2 0.5941176470588235 8
2 1.2 4
2 0.2685185185185185 26
2 0.20282413350449294 35
2 0.43478260869565216 15
2 0.6568627450980392 11
2 0.5442307692307693 17
2 0.2240418118466899 32
2 0.6515151515151515 8
2 0.4682971014492754 10
2 1.3095238095238095 2
2 0.24004267425320058 26
2 0.7136363636363636 3
2 0.27586206896551724 36
2 0.3284313725490196 25
2 0.5 19
2 0.351875 30
2 0.8944444444444444 1
2 0.0 41
2 1.125 2
2 0.6095238095238096 10
2 0.0 44
2 0.6666666666666666 5
2 0.13721804511278196 39
2 1.3541666666666665 1
2 1.1547619047619047 0
2 0.44792353328938694 30
2 0.09639953542392567 34
2 0.5571428571428572 16
2 0.09044715447154472 36
2 0.6060606060606061 7
1 0.5405405405405406 13
1 0.23684210526315788 44
1 0.5882352941176471 9
1 0.19047619047619047 50
1 0.358974358974359 27
1 0.4444444444444444 18
1 1.75 0
1 0.0 56
1 0.047619047619047616 44
1 0.17073170731707318 36
1 0.5121951219512195 31
1 0.7692307692307693 9
1 1.4285714285714286 0
1 0.8333333333333334 9
1 1.5714285714285714 0
1 0.44 19
1 0.9354838709677419 3
1 0.7272727272727273 10
1 0.3 38
1 0.5625 20
1 0.2727272727272727 47
1 0.1 43
1 5.333333333333333 0
1 1.125 1
1 0.8181818181818182 5
1 0.0 45
1 0.4827586206896552 15
1 0.5714285714285714 18
1 0.23529411764705882 37
1 0.64 14
1 1.0769230769230769 1
1 0.41025641025641024 26
1 0.5882352941176471 15
1 0.10344827586206896 33
1 0.0 42
1 0.05405405405405406 40
1 1.0 3
1 0.37037037037037035 21
1 2.5 2
1 1.8888888888888888 1
1 0.6363636363636364 17
1 0.15384615384615385 56
1 0.0975609756097561 53
1 0.34146341463414637 32
1 0.34375 40
1 0.4 22
1 0.7272727272727273 8
1 0.1891891891891892 41
1 0.8571428571428571 4
1 0.5555555555555556 11
1 0.5294117647058824 24
1 0.36666666666666664 33
1 0.38235294117647056 23
1 0.04878048780487805 49
1 0.34146341463414637 43
1 0.09523809523809523 54
1 0.29411764705882354 35
1 0.25 31
1 0.65 3
1 0.6 21
1 0.0967741935483871 39
1 0.5238095238095238 14
1 0.1282051282051282 35
1 0.4857142857142857 9
1 1.5 1
1 0.41025641025641024 25
1 0.13513513513513514 41
1 1.0909090909090908 0
1 0.75 6
1 1.2 3
1 0.02564102564102564 95
1 0.047619047619047616 53
1 3.0 0
1 0.09375 62
1 1.0 4
