count robl cc
1 1.8888888888888888 2
1 0.36666666666666664 19
1 0.02702702702702703 24
1 0.02857142857142857 33
1 0.25925925925925924 17
1 1.4285714285714286 1
1 1.2 3
1 0.0 32
1 0.38235294117647056 23
1 1.5714285714285714 1
1 0.9354838709677419 4
1 0.4594594594594595 18
