count robl loc
1 0.2640845070422535 284
1 0.04011461318051576 349
1 0.10583941605839416 274
1 1.5714285714285714 7
1 0.1414441147378833 1011
1 11.0 1
1 0.11649214659685864 764
1 0.05519480519480519 616
1 0.02355072463768116 552
1 5.0 1
1 0.4560327198364008 489
1 0.17578125 512
1 0.3364485981308411 107
1 0.004804392587508579 1457
1 1.0 36
1 0.0 272
1 0.5 52
1 0.0 566
1 0.145 1400
1 0.5223880597014925 67
1 0.135678391959799 597
1 0.22822822822822822 333
1 1.0 22
1 0.4745762711864407 59
1 0.09418837675350701 499
1 0.0 999
1 0.0 853
1 0.15258855585831063 734
1 0.0 864
1 0.23404255319148937 423
1 0.0 313
1 1.75 4
1 0.2027491408934708 291
1 0.14212548015364918 781
1 0.32786885245901637 244
1 0.12566844919786097 748
1 0.022023809523809525 1680
1 0.0 451
1 0.0015267175572519084 655
1 0.14658385093167703 805
1 0.2958963282937365 463
1 0.008691206543967281 1956
1 0.062111801242236024 322
1 0.0391304347826087 460
1 0.12583412774070543 1049
1 0.2148936170212766 470
1 0.1950354609929078 564
1 0.03038674033149171 362
1 0.13445378151260504 1071
1 0.9354838709677419 31
1 0.007017543859649123 285
1 1.8888888888888888 9
1 5.333333333333333 3
1 0.07771260997067449 682
1 0.10194730813287514 873
1 1.4285714285714286 14
1 0.07277628032345014 742
1 0.026022304832713755 538
1 0.22397476340694006 317
1 0.22878228782287824 271
1 0.11372549019607843 510
1 0.5972222222222222 72
1 0.19375 640
1 0.009615384615384616 416
1 0.09116809116809117 702
1 0.11120996441281139 1124
1 0.45588235294117646 136
1 0.17974683544303796 395
1 0.15730337078651685 445
1 1.2857142857142858 14
1 0.0 716
1 0.012048192771084338 747
1 0.0 948
1 0.2626728110599078 217
1 0.0 696
1 0.14968553459119496 795
1 0.5903614457831325 83
1 0.1126005361930295 373
1 0.12422360248447205 644
1 0.16880341880341881 468
1 0.16514954486345904 769
1 0.13653136531365315 813
