count robl hsv
17 0.18557194440879402 2427
17 0.547109364613007 749
17 0.6149064007887537 832
17 0.03821748103048155 2751
17 0.7126050420168067 287
17 0.5765393055617969 678
16 0.2370362138236481 2589
16 0.001953125 3558
16 0.17272680731483372 2870
16 0.14285714285714285 103
16 0.08270824041819194 3128
15 0.10678555066325313 3484
15 0.005396270396270397 3321
15 0.27929776916137633 2744
15 0.5718054941274756 1092
15 0.5476417490920371 1358
15 0.3813289600569413 1852
15 0.2783586631325059 2639
15 0.38923960967627375 2543
14 0.05905786608846716 2914
14 0.0038015206082432974 3704
14 0.39812106967443617 2168
14 0.7483766233766234 544
14 0.0035714285714285718 3433
14 0.43282421712968955 1818
14 0.4653191951833343 1544
14 0.2107092243972917 3261
14 0.3102825472759589 2241
14 0.08954398381605881 3309
13 0.011480140156610745 4038
13 0.7529585798816568 387
13 0.22222498175076172 2748
13 0.75 99
13 0.13713602857815174 2985
13 0.16442233566744216 3356
13 0.0 4272
12 0.03821942688419318 2993
12 0.5296327658837193 1244
12 1.3479166666666667 181
12 0.8333333333333334 384
12 0.2690381336264189 3365
12 0.8472222222222222 463
12 0.3504509231078474 2420
12 0.4036740909383694 2353
12 0.45423364426787893 2076
11 0.21720434949365386 3435
11 0.0 4667
11 0.14386805288451746 3602
11 0.2781034117397754 2872
11 0.6775006855889208 741
11 1.0 371
11 0.09950413431218937 3733
11 0.5805121886112843 880
10 0.6215218768159945 973
10 0.2837739259385601 2982
10 0.31937443965605067 2572
10 0.4628984809584938 2236
10 0.3376762200311762 2715
10 0.012670256572695599 4441
9 0.14135418412379197 2
9 0.11955589171146447 4267
8 0.8918682012432012 504
8 0.2931019872140299 2411
8 1.0 577
8 0.22840158404182795 3125
8 0.7590638528138528 907
8 0.49788218932695183 1657
8 0.1451932195353248 4042
7 0.3429636345577112 3404
7 0.8239016935445507 770
7 0.328633529500025 2906
7 0.8765688093419186 885
7 0.8514739229024944 232
7 0.16380866546371772 3827
7 0.4344209603791485 1912
7 0.7395794681508967 1093
7 0.3133062204926316 2474
7 1.6666666666666667 158
7 0.29059069442344704 3619
6 0.22053229458602472 4005
6 0.8246108058608059 1109
6 0.4924968071519795 1825
6 0.2888845821130802 4017
6 0.21253052503052502 3690
6 0.0 4164
6 0.6531862745098039 1165
6 0.6210076037441766 1778
6 0.6723684210526315 857
6 0.39733606606671623 2674
5 0.9128427128427129 661
5 0.6110973084886129 1430
5 1.1633333333333333 294
5 0.6015302144249512 1297
5 1.24 213
5 0.05373075193885579 3450
4 0.8870967741935484 1654
4 0.5486434303296431 1772
4 0.4196554604903062 2883
4 0.5763392857142857 41
4 2.5 103
4 0.2795199380565234 3184
4 0.1260266049739734 4611
4 0.53173309055662 2157
4 0.486236802413273 3249
4 0.598297213622291 2332
4 1.5178571428571428 344
4 0.3443802767354597 3082
3 1.1195887445887445 552
3 0.9126984126984127 1430
3 0.02210526315789474 4922
3 0.0 6361
3 0.0 6885
3 0.18438309657821852 4509
3 0.7651689708141322 1418
3 0.0 5904
3 1.3174603174603174 595
2 0.18741109530583216 7853
2 0.5508403361344538 1974
2 0.7202380952380952 1902
2 0.3205128205128205 4754
2 2.0 79
2 0.015625 8988
2 0.02631578947368421 5279
2 0.1586971586971587 4817
2 0.12531328320802004 5228
2 1.4642857142857144 656
2 0.0 12174
2 1.25 334
1 0.0 11293
1 0.47619047619047616 6828
1 0.38461538461538464 4382
1 0.16129032258064516 5333
1 0.7407407407407407 5670
1 0.23076923076923078 5081
1 1.0 2661
1 0.47619047619047616 3911
