count nobl hse
2 6.0 358841
2 17.0 176222
2 20.0 297797
2 18.0 16180
2 37.0 1086906
2 12.0 256583
2 20.0 327720
2 22.0 68400
2 9.0 363180
2 7.0 477929
2 18.0 304267
2 9.0 312879
2 21.0 428479
2 10.0 190221
2 28.0 596173
2 12.0 176246
2 4.0 321257
2 5.0 404354
2 16.0 286394
2 33.0 143433
2 48.0 176111
2 24.0 552409
2 20.0 384344
2 44.0 1199528
2 20.0 222283
2 12.0 212264
2 19.0 219045
2 13.0 346431
2 6.0 553898
2 25.0 181095
2 0.0 419522
2 4.0 275474
2 22.0 108399
2 10.0 227720
2 6.0 190685
2 2.0 252312
2 25.0 149930
2 6.0 286074
2 31.0 189277
2 4.0 208028
2 23.0 449038
2 22.0 436708
2 17.0 201009
2 18.0 279105
2 19.0 272541
2 7.0 224022
2 15.0 222179
2 18.0 229265
2 24.0 77709
2 27.0 86601
2 8.0 394669
2 15.0 234785
2 36.0 317453
2 36.0 952904
2 25.0 26172
2 23.0 162831
2 35.0 170271
2 0.0 403666
2 0.0 359587
2 18.0 204401
2 14.0 378697
2 5.0 265264
2 4.0 399648
2 41.0 413654
2 25.0 396809
2 3.0 322206
2 23.0 99477
2 15.0 164804
2 29.0 25904
2 24.0 314601
2 0.0 467564
2 19.0 197335
2 9.0 388032
2 18.0 193838
2 10.0 238465
2 20.0 353925
2 32.0 242864
2 32.0 133566
2 2.0 657891
2 21.0 309223
2 1.0 308290
2 9.0 486077
2 22.0 223559
2 14.0 205492
2 5.0 253293
2 6.0 269357
2 15.0 353443
2 16.0 326831
2 26.0 138172
2 26.0 32588
1 32.0 388448
1 23.0 235135
1 20.0 190202
1 32.0 216886
1 13.0 227871
1 11.0 430467
1 0.0 871489
1 29.0 108474
1 2.0 290387
1 14.0 320478
1 6.0 261200
1 20.0 272923
1 14.0 391198
1 24.0 467598
1 27.0 346307
1 22.0 30667
1 17.0 348876
1 21.0 32395
1 22.0 178182
1 4.0 290159
1 22.0 325163
1 13.0 301446
