count robl ncl
1 1.5 6
1 1.3333333333333333 15
1 0.8461538461538461 75
1 0.23728813559322035 103
1 0.208955223880597 62
1 0.24242424242424243 134
1 0.75 17
1 0.07027027027027027 119
1 2.5 3
1 0.7 17
1 0.05947955390334572 69
1 1.1666666666666667 4
1 0.07277628032345014 102
1 0.9354838709677419 91
1 5.333333333333333 4
1 0.8571428571428571 28
1 1.2857142857142858 0
1 0.43333333333333335 27
1 1.25 1
1 0.18032786885245902 48
1 0.47619047619047616 37
1 0.8 10
1 0.09045226130653267 84
1 0.3515151515151515 74
1 2.0 18
1 0.1126005361930295 57
1 1.25 11
1 0.5535714285714286 114
1 0.6 33
1 0.8 48
1 5.0 3
1 1.0909090909090908 10
1 1.4285714285714286 50
1 0.056962025316455694 54
1 1.6666666666666667 5
1 0.28 44
1 1.0769230769230769 1
1 0.07207207207207207 61
1 0.22012578616352202 42
1 0.3902439024390244 30
1 0.03278688524590164 57
1 1.75 0
1 0.6086956521739131 38
1 0.1950354609929078 276
1 0.6363636363636364 11
1 0.6 13
1 2.5 19
1 0.5 13
1 0.15258855585831063 84
1 0.05263157894736842 33
1 1.0 23
1 0.28 68
1 0.3880597014925373 43
1 0.2962962962962963 65
1 1.5 10
1 0.5 34
1 0.45588235294117646 66
1 0.06153846153846154 75
1 1.2 1
1 1.5714285714285714 9
1 0.0 38
